date_day,date_name,sex_name,geography_name,value_type_name,measures,measures_name,all_persons_aged_16_and_over,total_unemployed_aged_16_and_over,total_in_employment_aged_16_to_64,total_economically_inactive_aged_16_to_64
2015-09-01,Jul 2015-Sep 2015,Total,London,Change on quarter,20100,number of people,19967,1308,27036,-6602
2015-09-01,Jul 2015-Sep 2015,Total,London,Change on year,20100,number of people,91342,11461,54698,5177
2015-09-01,Jul 2015-Sep 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.4,72.4,22.6
2015-09-01,Jul 2015-Sep 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.3,-0.2
2015-09-01,Jul 2015-Sep 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0,-0.2
2015-10-01,Aug 2015-Oct 2015,Total,London,Level,20100,number of people,6855778,305362,4289058,1298562
2015-10-01,Aug 2015-Oct 2015,Total,London,Change on quarter,20100,number of people,18035,12127,49606,-39398
2015-10-01,Aug 2015-Oct 2015,Total,London,Change on year,20100,number of people,89747,4043,112247,-45600
2015-10-01,Aug 2015-Oct 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.5,72.9,22.1
2015-10-01,Aug 2015-Oct 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,0.7,-0.7
2015-10-01,Aug 2015-Oct 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,1,-1.1
2015-11-01,Sep 2015-Nov 2015,Total,London,Level,20100,number of people,6861696,299953,4282494,1313289
2015-11-01,Sep 2015-Nov 2015,Total,London,Change on quarter,20100,number of people,18140,26264,16008,-27800
2015-11-01,Sep 2015-Nov 2015,Total,London,Change on year,20100,number of people,87557,-3229,117333,-43228
2015-11-01,Sep 2015-Nov 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.4,72.8,22.3
2015-11-01,Sep 2015-Nov 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.5,0.1,-0.5
2015-11-01,Sep 2015-Nov 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,1.2,-1
2015-12-01,Oct 2015-Dec 2015,Total,London,Level,20100,number of people,6867837,299543,4290791,1303958
2015-12-01,Oct 2015-Dec 2015,Total,London,Change on quarter,20100,number of people,18227,-2240,37484,-23349
2015-12-01,Oct 2015-Dec 2015,Total,London,Change on year,20100,number of people,85829,-1527,106486,-36534
2015-12-01,Oct 2015-Dec 2015,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.3,72.9,22.1
2015-12-01,Oct 2015-Dec 2015,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,0.5,-0.4
2015-12-01,Oct 2015-Dec 2015,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,1,-0.9
2016-01-01,Nov 2015-Jan 2016,Total,London,Level,20100,number of people,6873700,290382,4287967,1315808
2016-01-01,Nov 2015-Jan 2016,Total,London,Change on quarter,20100,number of people,17922,-14980,-1091,17246
2016-01-01,Nov 2015-Jan 2016,Total,London,Change on year,20100,number of people,83728,5708,69575,-10974
2016-01-01,Nov 2015-Jan 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.2,72.8,22.3
2016-01-01,Nov 2015-Jan 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,-0.2,0.2
2016-01-01,Nov 2015-Jan 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.4,-0.4
2016-02-01,Dec 2015-Feb 2016,Total,London,Level,20100,number of people,6879978,291380,4305311,1304160
2016-02-01,Dec 2015-Feb 2016,Total,London,Change on quarter,20100,number of people,18282,-8573,22817,-9129
2016-02-01,Dec 2015-Feb 2016,Total,London,Change on year,20100,number of people,82257,3760,88607,-29026
2016-02-01,Dec 2015-Feb 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.2,73,22.1
2016-02-01,Dec 2015-Feb 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,0.2,-0.2
2016-02-01,Dec 2015-Feb 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.7,-0.7
2016-03-01,Jan 2016-Mar 2016,Total,London,Level,20100,number of people,6886009,267647,4324337,1312487
2016-03-01,Jan 2016-Mar 2016,Total,London,Change on quarter,20100,number of people,18172,-31896,33546,8529
2016-03-01,Jan 2016-Mar 2016,Total,London,Change on year,20100,number of people,80267,-17019,108515,-31280
2016-03-01,Jan 2016-Mar 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.7,73.3,22.2
2016-03-01,Jan 2016-Mar 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.4,0.1
2016-03-01,Jan 2016-Mar 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,1.1,-0.8
2016-04-01,Feb 2016-Apr 2016,Total,London,Level,20100,number of people,6891983,272824,4334789,1299212
2016-04-01,Feb 2016-Apr 2016,Total,London,Change on quarter,20100,number of people,18283,-17558,46822,-16596
2016-04-01,Feb 2016-Apr 2016,Total,London,Change on year,20100,number of people,78106,-12366,122820,-52175
2016-04-01,Feb 2016-Apr 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.7,73.4,22
2016-04-01,Feb 2016-Apr 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.6,-0.3
2016-04-01,Feb 2016-Apr 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,1.4,-1.1
2016-05-01,Mar 2016-May 2016,Total,London,Level,20100,number of people,6897980,272526,4335027,1302219
2016-05-01,Mar 2016-May 2016,Total,London,Change on quarter,20100,number of people,18002,-18854,29716,-1941
2016-05-01,Mar 2016-May 2016,Total,London,Change on year,20100,number of people,76254,-30596,131691,-42710
2016-05-01,Mar 2016-May 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.7,73.3,22
2016-05-01,Mar 2016-May 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.3,-0.1
2016-05-01,Mar 2016-May 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,1.5,-0.9
2016-06-01,Apr 2016-Jun 2016,Total,London,Level,20100,number of people,6903977,275352,4338645,1300723
2016-06-01,Apr 2016-Jun 2016,Total,London,Change on quarter,20100,number of people,17968,7705,14308,-11764
2016-06-01,Apr 2016-Jun 2016,Total,London,Change on year,20100,number of people,74334,-25123,112374,-33186
2016-06-01,Apr 2016-Jun 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.8,73.3,22
2016-06-01,Apr 2016-Jun 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0.1,-0.2
2016-06-01,Apr 2016-Jun 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,1.2,-0.8
2016-07-01,May 2016-Jul 2016,Total,London,Level,20100,number of people,6910068,285606,4340216,1297368
2016-07-01,May 2016-Jul 2016,Total,London,Change on quarter,20100,number of people,18085,12782,5427,-1844
2016-07-01,May 2016-Jul 2016,Total,London,Change on year,20100,number of people,72325,-7629,100764,-40592
2016-07-01,May 2016-Jul 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6,73.3,21.9
2016-07-01,May 2016-Jul 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,-0.1,-0.1
2016-07-01,May 2016-Jul 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,1,-0.9
2016-08-01,Jun 2016-Aug 2016,Total,London,Level,20100,number of people,6912855,290288,4342503,1295791
2016-08-01,Jun 2016-Aug 2016,Total,London,Change on quarter,20100,number of people,14875,17762,7476,-6428
2016-08-01,Jun 2016-Aug 2016,Total,London,Change on year,20100,number of people,69299,16599,76017,-45298
2016-08-01,Jun 2016-Aug 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.1,73.3,21.9
2016-08-01,Jun 2016-Aug 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,0,-0.1
2016-08-01,Jun 2016-Aug 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,0.7,-1
2016-09-01,Jul 2016-Sep 2016,Total,London,Level,20100,number of people,6915761,266509,4352116,1308468
2016-09-01,Jul 2016-Sep 2016,Total,London,Change on quarter,20100,number of people,11784,-8843,13471,7745
2016-09-01,Jul 2016-Sep 2016,Total,London,Change on year,20100,number of people,66151,-35274,98809,-18839
2016-09-01,Jul 2016-Sep 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.6,73.5,22.1
2016-09-01,Jul 2016-Sep 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,0.1,0.1
2016-09-01,Jul 2016-Sep 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,1.1,-0.5
2016-10-01,Aug 2016-Oct 2016,Total,London,Level,20100,number of people,6918564,264310,4362704,1306493
2016-10-01,Aug 2016-Oct 2016,Total,London,Change on quarter,20100,number of people,8496,-21296,22488,9125
2016-10-01,Aug 2016-Oct 2016,Total,London,Change on year,20100,number of people,62786,-41052,73646,7931
2016-10-01,Aug 2016-Oct 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.6,73.6,22.1
2016-10-01,Aug 2016-Oct 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.3,0.1
2016-10-01,Aug 2016-Oct 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.9,0.7,0
2016-11-01,Sep 2016-Nov 2016,Total,London,Level,20100,number of people,6921555,269945,4367666,1296893
2016-11-01,Sep 2016-Nov 2016,Total,London,Change on quarter,20100,number of people,8700,-20343,25163,1102
2016-11-01,Sep 2016-Nov 2016,Total,London,Change on year,20100,number of people,59859,-30008,85172,-16396
2016-11-01,Sep 2016-Nov 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.7,73.7,21.9
2016-11-01,Sep 2016-Nov 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0.4,0
2016-11-01,Sep 2016-Nov 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.9,-0.4
2016-12-01,Oct 2016-Dec 2016,Total,London,Level,20100,number of people,6924520,265932,4362111,1301792
2016-12-01,Oct 2016-Dec 2016,Total,London,Change on quarter,20100,number of people,8759,-577,9995,-6676
2016-12-01,Oct 2016-Dec 2016,Total,London,Change on year,20100,number of people,56683,-33611,71320,-2166
2016-12-01,Oct 2016-Dec 2016,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.6,73.6,22
2016-12-01,Oct 2016-Dec 2016,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.1,-0.1
2016-12-01,Oct 2016-Dec 2016,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,0.7,-0.2
2017-01-01,Nov 2016-Jan 2017,Total,London,Level,20100,number of people,6927290,268704,4350354,1308422
2017-01-01,Nov 2016-Jan 2017,Total,London,Change on quarter,20100,number of people,8726,4394,-12350,1929
2017-01-01,Nov 2016-Jan 2017,Total,London,Change on year,20100,number of people,53590,-21678,62387,-7386
2017-01-01,Nov 2016-Jan 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.6,73.4,22.1
2017-01-01,Nov 2016-Jan 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,-0.3,0
2017-01-01,Nov 2016-Jan 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0.6,-0.3
2017-02-01,Dec 2016-Feb 2017,Total,London,Level,20100,number of people,6930272,280000,4345683,1306390
2017-02-01,Dec 2016-Feb 2017,Total,London,Change on quarter,20100,number of people,8717,10055,-21983,9497
2017-02-01,Dec 2016-Feb 2017,Total,London,Change on year,20100,number of people,50294,-11380,40372,2230
2017-02-01,Dec 2016-Feb 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.9,73.3,22
2017-02-01,Dec 2016-Feb 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,-0.4,0.1
2017-02-01,Dec 2016-Feb 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.3,-0.1
2017-03-01,Jan 2017-Mar 2017,Total,London,Level,20100,number of people,6933057,288214,4343039,1304100
2017-03-01,Jan 2017-Mar 2017,Total,London,Change on quarter,20100,number of people,8537,22282,-19072,2308
2017-03-01,Jan 2017-Mar 2017,Total,London,Change on year,20100,number of people,47048,20567,18702,-8387
2017-03-01,Jan 2017-Mar 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6,73.2,22
2017-03-01,Jan 2017-Mar 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.5,-0.4,0
2017-03-01,Jan 2017-Mar 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,0,-0.2
2017-04-01,Feb 2017-Apr 2017,Total,London,Level,20100,number of people,6935983,277295,4348373,1308676
2017-04-01,Feb 2017-Apr 2017,Total,London,Change on quarter,20100,number of people,8693,8591,-1981,254
2017-04-01,Feb 2017-Apr 2017,Total,London,Change on year,20100,number of people,44000,4471,13584,9464
2017-04-01,Feb 2017-Apr 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.8,73.3,22.1
2017-04-01,Feb 2017-Apr 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,-0.1,0
2017-04-01,Feb 2017-Apr 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,-0.1,0.1
2017-05-01,Mar 2017-May 2017,Total,London,Level,20100,number of people,6938985,258373,4391546,1282503
2017-05-01,Mar 2017-May 2017,Total,London,Change on quarter,20100,number of people,8713,-21627,45863,-23887
2017-05-01,Mar 2017-May 2017,Total,London,Change on year,20100,number of people,41005,-14153,56519,-19716
2017-05-01,Mar 2017-May 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.4,74,21.6
2017-05-01,Mar 2017-May 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0.7,-0.4
2017-05-01,Mar 2017-May 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.7,-0.4
2017-06-01,Apr 2017-Jun 2017,Total,London,Level,20100,number of people,6941816,261017,4415254,1258049
2017-06-01,Apr 2017-Jun 2017,Total,London,Change on quarter,20100,number of people,8759,-27197,72215,-46051
2017-06-01,Apr 2017-Jun 2017,Total,London,Change on year,20100,number of people,37839,-14335,76609,-42674
2017-06-01,Apr 2017-Jun 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.4,74.4,21.2
2017-06-01,Apr 2017-Jun 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,1.2,-0.8
2017-06-01,Apr 2017-Jun 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,1,-0.8
2017-07-01,May 2017-Jul 2017,Total,London,Level,20100,number of people,6944812,244758,4447150,1246801
2017-07-01,May 2017-Jul 2017,Total,London,Change on quarter,20100,number of people,8829,-32537,98777,-61875
2017-07-01,May 2017-Jul 2017,Total,London,Change on year,20100,number of people,34744,-40848,106934,-50567
2017-07-01,May 2017-Jul 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.1,74.9,21
2017-07-01,May 2017-Jul 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,1.6,-1.1
2017-07-01,May 2017-Jul 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.9,1.6,-0.9
2017-08-01,Jun 2017-Aug 2017,Total,London,Level,20100,number of people,6953421,232987,4460451,1256872
2017-08-01,Jun 2017-Aug 2017,Total,London,Change on quarter,20100,number of people,14436,-25386,68905,-25631
2017-08-01,Jun 2017-Aug 2017,Total,London,Change on year,20100,number of people,40566,-57301,117948,-38919
2017-08-01,Jun 2017-Aug 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.8,75,21.1
2017-08-01,Jun 2017-Aug 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,1,-0.5
2017-08-01,Jun 2017-Aug 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.3,1.7,-0.7
2017-09-01,Jul 2017-Sep 2017,Total,London,Level,20100,number of people,6962000,235483,4419942,1301072
2017-09-01,Jul 2017-Sep 2017,Total,London,Change on quarter,20100,number of people,20184,-25534,4688,43023
2017-09-01,Jul 2017-Sep 2017,Total,London,Change on year,20100,number of people,46239,-31026,67826,-7396
2017-09-01,Jul 2017-Sep 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.9,74.3,21.9
2017-09-01,Jul 2017-Sep 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,-0.1,0.7
2017-09-01,Jul 2017-Sep 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.8,-0.2
2017-10-01,Aug 2017-Oct 2017,Total,London,Level,20100,number of people,6970833,234733,4438737,1294673
2017-10-01,Aug 2017-Oct 2017,Total,London,Change on quarter,20100,number of people,26021,-10025,-8413,47872
2017-10-01,Aug 2017-Oct 2017,Total,London,Change on year,20100,number of people,52269,-29577,76033,-11820
2017-10-01,Aug 2017-Oct 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.9,74.5,21.7
2017-10-01,Aug 2017-Oct 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,-0.4,0.7
2017-10-01,Aug 2017-Oct 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.9,-0.3
2017-11-01,Sep 2017-Nov 2017,Total,London,Level,20100,number of people,6979469,253460,4435709,1284851
2017-11-01,Sep 2017-Nov 2017,Total,London,Change on quarter,20100,number of people,26048,20473,-24742,27979
2017-11-01,Sep 2017-Nov 2017,Total,London,Change on year,20100,number of people,57914,-16485,68043,-12042
2017-11-01,Sep 2017-Nov 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.2,74.4,21.5
2017-11-01,Sep 2017-Nov 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,-0.7,0.4
2017-11-01,Sep 2017-Nov 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.6,-0.3
2017-12-01,Oct 2017-Dec 2017,Total,London,Level,20100,number of people,6988170,242048,4442728,1290734
2017-12-01,Oct 2017-Dec 2017,Total,London,Change on quarter,20100,number of people,26170,6565,22786,-10338
2017-12-01,Oct 2017-Dec 2017,Total,London,Change on year,20100,number of people,63650,-23884,80617,-11058
2017-12-01,Oct 2017-Dec 2017,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5,74.4,21.6
2017-12-01,Oct 2017-Dec 2017,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0.1,-0.3
2017-12-01,Oct 2017-Dec 2017,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,0.8,-0.4
2018-01-01,Nov 2017-Jan 2018,Total,London,Level,20100,number of people,6996832,241823,4467268,1270896
2018-01-01,Nov 2017-Jan 2018,Total,London,Change on quarter,20100,number of people,25999,7090,28531,-23777
2018-01-01,Nov 2017-Jan 2018,Total,London,Change on year,20100,number of people,69542,-26881,116914,-37526
2018-01-01,Nov 2017-Jan 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5,74.7,21.3
2018-01-01,Nov 2017-Jan 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0.2,-0.5
2018-01-01,Nov 2017-Jan 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,1.3,-0.8
2018-02-01,Dec 2017-Feb 2018,Total,London,Level,20100,number of people,7005416,234619,4487896,1267651
2018-02-01,Dec 2017-Feb 2018,Total,London,Change on quarter,20100,number of people,25947,-18841,52187,-17200
2018-02-01,Dec 2017-Feb 2018,Total,London,Change on year,20100,number of people,75144,-45381,142213,-38739
2018-02-01,Dec 2017-Feb 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.8,75,21.2
2018-02-01,Dec 2017-Feb 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.6,-0.4
2018-02-01,Dec 2017-Feb 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1,1.7,-0.9
2018-03-01,Jan 2018-Mar 2018,Total,London,Level,20100,number of people,7014276,242262,4500055,1256170
2018-03-01,Jan 2018-Mar 2018,Total,London,Change on quarter,20100,number of people,26106,214,57327,-34564
2018-03-01,Jan 2018-Mar 2018,Total,London,Change on year,20100,number of people,81219,-45952,157016,-47930
2018-03-01,Jan 2018-Mar 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.9,75.1,21
2018-03-01,Jan 2018-Mar 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,0.7,-0.7
2018-03-01,Jan 2018-Mar 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.1,1.8,-1
2018-04-01,Feb 2018-Apr 2018,Total,London,Level,20100,number of people,7022813,253584,4481108,1269008
2018-04-01,Feb 2018-Apr 2018,Total,London,Change on quarter,20100,number of people,25981,11761,13840,-1888
2018-04-01,Feb 2018-Apr 2018,Total,London,Change on year,20100,number of people,86830,-23711,132735,-39668
2018-04-01,Feb 2018-Apr 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.2,74.7,21.1
2018-04-01,Feb 2018-Apr 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,0,-0.1
2018-04-01,Feb 2018-Apr 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,1.4,-0.9
2018-05-01,Mar 2018-May 2018,Total,London,Level,20100,number of people,7031628,249485,4479874,1278205
2018-05-01,Mar 2018-May 2018,Total,London,Change on quarter,20100,number of people,26212,14866,-8022,10554
2018-05-01,Mar 2018-May 2018,Total,London,Change on year,20100,number of people,92643,-8888,88328,-4298
2018-05-01,Mar 2018-May 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.1,74.6,21.3
2018-05-01,Mar 2018-May 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,-0.4,0.1
2018-05-01,Mar 2018-May 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.6,-0.3
2018-06-01,Apr 2018-Jun 2018,Total,London,Level,20100,number of people,7040381,237670,4484487,1294713
2018-06-01,Apr 2018-Jun 2018,Total,London,Change on quarter,20100,number of people,26105,-4592,-15568,38543
2018-06-01,Apr 2018-Jun 2018,Total,London,Change on year,20100,number of people,98565,-23347,69233,36664
2018-06-01,Apr 2018-Jun 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.9,74.5,21.5
2018-06-01,Apr 2018-Jun 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.5,0.6
2018-06-01,Apr 2018-Jun 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0.2,0.3
2018-07-01,May 2018-Jul 2018,Total,London,Level,20100,number of people,7049028,228121,4495084,1302343
2018-07-01,May 2018-Jul 2018,Total,London,Change on quarter,20100,number of people,26215,-25463,13976,33335
